Date,Price
18/12/2024,54900
17/12/2024,54200
16/12/2024,55600
13/12/2024,56100
12/12/2024,55900
11/12/2024,54000
10/12/2024,54000
09/12/2024,53400
06/12/2024,54100
05/12/2024,53700
04/12/2024,53100
03/12/2024,53600
02/12/2024,53600
29/11/2024,54200
28/11/2024,55500
27/11/2024,56300
26/11/2024,58300
25/11/2024,57900
22/11/2024,56000
21/11/2024,56400
20/11/2024,55300
19/11/2024,56300
18/11/2024,56700
15/11/2024,53500
14/11/2024,49900
13/11/2024,50600
12/11/2024,53000
11/11/2024,55000
08/11/2024,57000
07/11/2024,57500
06/11/2024,57300
05/11/2024,57600
04/11/2024,58700
01/11/2024,58300
31/10/2024,59200
30/10/2024,59100
29/10/2024,59600
28/10/2024,58100
25/10/2024,55900
24/10/2024,56600
23/10/2024,59100
22/10/2024,57700
21/10/2024,59000
18/10/2024,59200
17/10/2024,59700
16/10/2024,59500
15/10/2024,61000
14/10/2024,60800
11/10/2024,59300
10/10/2024,58900
08/10/2024,60300
07/10/2024,61000
04/10/2024,60600
02/10/2024,61300
30/09/2024,61500
27/09/2024,64200
26/09/2024,64700
25/09/2024,62200
24/09/2024,63200
23/09/2024,62600
20/09/2024,63000
19/09/2024,63100
13/09/2024,64400
12/09/2024,66300
11/09/2024,64900
10/09/2024,66200
09/09/2024,67500
06/09/2024,68900
05/09/2024,69000
04/09/2024,70000
03/09/2024,72500
02/09/2024,74400
30/08/2024,74300
29/08/2024,74000
28/08/2024,76400
27/08/2024,75800
26/08/2024,76100
23/08/2024,77700
22/08/2024,78300
21/08/2024,78300
20/08/2024,78900
19/08/2024,78300
16/08/2024,80200
14/08/2024,77200
13/08/2024,76100
12/08/2024,75500
09/08/2024,74700
08/08/2024,73400
07/08/2024,74700
06/08/2024,72500
05/08/2024,71400
02/08/2024,79600
01/08/2024,83100
31/07/2024,83900
30/07/2024,81000
29/07/2024,81200
26/07/2024,80900
25/07/2024,80400
24/07/2024,82000
23/07/2024,83900
22/07/2024,83000
19/07/2024,84400
18/07/2024,86900
17/07/2024,86700
16/07/2024,87700
15/07/2024,86700
12/07/2024,84400
11/07/2024,87600
10/07/2024,87800
09/07/2024,87800
08/07/2024,87400
05/07/2024,87100
04/07/2024,84600
03/07/2024,81800
02/07/2024,81800
01/07/2024,81800
28/06/2024,81500
27/06/2024,81600
26/06/2024,81300
25/06/2024,80800
24/06/2024,80600
21/06/2024,80000
20/06/2024,81600
19/06/2024,81200
18/06/2024,79800
17/06/2024,78100
14/06/2024,79600
13/06/2024,78600
12/06/2024,76500
11/06/2024,75200
10/06/2024,75700
07/06/2024,77300
05/06/2024,77400
04/06/2024,75300
03/06/2024,75700
31/05/2024,73500
30/05/2024,73500
29/05/2024,75200
28/05/2024,77600
27/05/2024,77200
24/05/2024,75900
23/05/2024,78300
22/05/2024,77700
21/05/2024,78400
20/05/2024,78900
17/05/2024,77400
16/05/2024,78200
14/05/2024,78300
13/05/2024,78400
10/05/2024,79200
09/05/2024,79700
08/05/2024,81300
07/05/2024,81300
03/05/2024,77600
02/05/2024,78000
30/04/2024,77500
29/04/2024,76700
26/04/2024,76700
25/04/2024,76300
24/04/2024,78600
23/04/2024,75500
22/04/2024,76100
19/04/2024,77600
18/04/2024,79600
17/04/2024,78900
16/04/2024,80000
15/04/2024,82200
12/04/2024,83700
11/04/2024,84100
09/04/2024,83600
08/04/2024,84500
05/04/2024,84500
04/04/2024,85300
03/04/2024,84100
02/04/2024,85000
01/04/2024,82000
29/03/2024,82400
28/03/2024,80800
27/03/2024,79800
26/03/2024,79900
25/03/2024,78200
22/03/2024,78900
21/03/2024,79300
20/03/2024,76900
19/03/2024,72800
18/03/2024,72800
17/03/2024,72300
15/03/2024,72300
14/03/2024,74300
13/03/2024,74100
12/03/2024,73300
11/03/2024,72400
10/03/2024,73300
08/03/2024,73300
07/03/2024,72200
06/03/2024,72900
05/03/2024,73700
04/03/2024,74900
03/03/2024,73400
29/02/2024,73400
28/02/2024,73200
27/02/2024,72900
26/02/2024,72800
25/02/2024,72900
23/02/2024,72900
22/02/2024,73100
21/02/2024,73000
20/02/2024,73300
19/02/2024,73800
18/02/2024,72800
16/02/2024,72800
15/02/2024,73000
14/02/2024,74000
13/02/2024,75200
12/02/2024,74100
08/02/2024,74100
07/02/2024,75000
06/02/2024,74400
05/02/2024,74300
04/02/2024,75200
02/02/2024,75200
01/02/2024,73600
31/01/2024,72700
30/01/2024,74300
29/01/2024,74400
28/01/2024,73400
26/01/2024,73400
25/01/2024,74100
24/01/2024,74000
23/01/2024,75200
22/01/2024,75100
21/01/2024,74700
19/01/2024,74700
18/01/2024,71700
17/01/2024,71000
16/01/2024,72600
15/01/2024,73900
14/01/2024,73100
12/01/2024,73100
11/01/2024,73200
10/01/2024,73600
09/01/2024,74700
08/01/2024,76500
07/01/2024,76600
05/01/2024,76600
04/01/2024,76600
03/01/2024,77000
02/01/2024,79600
